table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Males,,estimate,411.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Females,,estimate,550.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with 12-month symptoms,Persons,,estimate,967.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Males,,estimate,280.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Females,,estimate,477.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Persons,,estimate,760.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Males,,estimate,691.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Females,,estimate,1033.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Persons,,estimate,1723,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Males,,estimate,2401,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Females,,estimate,2139.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Persons,,estimate,4536.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Males,,estimate,207,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Females,,estimate,211.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Persons,,estimate,413.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Males,,estimate,207.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Females,,estimate,376.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Persons,,estimate,585,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Males,,estimate,410.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Females,,estimate,582.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Persons,,estimate,1005.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Males,,estimate,2672.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Females,,estimate,2586.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Persons,,estimate,5263.5,New South Wales - Lifetime and 12-month disorders.xlsx
