indicator,sub_indicator,sex,phn_code,phn_name,age_band,metric_name,unit,value
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,,In scope population(a),(%),100
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,16-24 years,Persons with disorder,(no.),10130
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,16-24 years,Relative root mean square error(b),(%),7.9
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,16-24 years,Proportion,(%),11.4
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,16-24 years,95% Confidence Interval of proportion,Lower (%),9.6
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,16-24 years,Population,(no.),89075
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,25-34 years,Persons with disorder,(no.),13531
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,25-34 years,Relative root mean square error(b),(%),7.4
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,25-34 years,Proportion,(%),8.9
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,25-34 years,95% Confidence Interval of proportion,Lower (%),7.6
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,25-34 years,Population,(no.),152618
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,35-44 years,Persons with disorder,(no.),5838
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,35-44 years,Relative root mean square error(b),(%),10.7
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,35-44 years,Proportion,(%),4.9
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,35-44 years,95% Confidence Interval of proportion,Lower (%),3.9
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,35-44 years,Population,(no.),118371
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,45-54 years,Persons with disorder,(no.),5181
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,45-54 years,Relative root mean square error(b),(%),9.1
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,45-54 years,Proportion,(%),5.5
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,45-54 years,95% Confidence Interval of proportion,Lower (%),4.5
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,45-54 years,Population,(no.),94204
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,55-64 years,Persons with disorder,(no.),4007
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,55-64 years,Relative root mean square error(b),(%),9.2
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,55-64 years,Proportion,(%),5
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,55-64 years,95% Confidence Interval of proportion,Lower (%),4.1
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,55-64 years,Population,(no.),79599
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,65-74 years,Persons with disorder,(no.),1470
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,65-74 years,Relative root mean square error(b),(%),12.6
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,65-74 years,Proportion,(%),2.6
12-month Affective disorders - modelled,,Males,101,Central and Eastern Sydney,65-74 years,95% Confidence Interval of proportion,Lower (%),2
